Gene ID	3.0.2	4.0.2	5.0.2	6.0.2	3.5.2	4.5.2	5.5.2	6.5.2
ENSDARG00000062720	1228	1106	1185	1241	584	837	528	650
ENSDARG00000039647	6852	5616	6500	7502	3362	4363	2518	4177
ENSDARG00000102453	10248	9629	10355	9547	4044	6366	3008	5152
ENSDARG00000093357	302	332	309	299	162	179	156	177
ENSDARG00000001994	6969	6290	6704	7095	3513	4737	2733	4020
ENSDARG00000018259	11355	10063	10713	12464	5885	7765	4228	6934
ENSDARG00000055216	3734	3263	3569	4074	2137	2652	1561	2135
ENSDARG00000002193	16694	16213	19006	22454	8671	12631	4773	10207
ENSDARG00000000503	9962	8949	9722	10608	5131	7115	3628	5557
ENSDARG00000078701	238	245	258	368	134	190	120	160
ENSDARG00000094992	389	321	384	427	184	258	173	239
ENSDARG00000059945	7542	7039	7394	8647	4177	5430	2982	4890
ENSDARG00000034011	1240	1252	1216	1502	752	929	542	787
ENSDARG00000059255	172	174	192	205	87	128	73	111
ENSDARG00000015537	5453	4803	5412	6168	2822	3996	1937	3126
ENSDARG00000063614	358	359	348	456	168	254	143	259
ENSDARG00000098526	384	313	361	415	197	266	161	212
ENSDARG00000045367	815	762	874	874	504	577	393	472
ENSDARG00000054456	2669	2429	2663	2995	1464	1992	1220	1711
ENSDARG00000010124	76	73	104	98	41	52	28	50
ENSDARG00000024619	470	503	470	532	267	367	209	262
ENSDARG00000053547	1343	1100	1250	1332	725	924	496	707
ENSDARG00000056742	1362	1305	1356	1706	743	1086	572	844
ENSDARG00000076401	547	559	568	677	284	416	246	390
ENSDARG00000060639	1746	1527	1670	1917	1004	1164	771	1173
ENSDARG00000003680	1896	1867	1892	2191	1055	1425	917	1330
ENSDARG00000017338	5251	4832	4947	5309	3003	3700	2445	3195
ENSDARG00000059311	2571	2388	2690	3220	1535	1910	1242	1866
ENSDARG00000012896	583	589	641	672	333	434	283	420
ENSDARG00000016301	2225	1797	2029	1996	1097	1445	717	1007
ENSDARG00000031618	337	291	292	334	176	218	148	180
ENSDARG00000006206	67	49	56	83	29	28	23	39
ENSDARG00000062797	2695	2524	2649	3293	1643	2052	1241	1874
ENSDARG00000073883	4018	3366	3742	4293	2317	2808	1755	2556
ENSDARG00000089271	1637	1462	1517	1770	979	1151	744	1012
